,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
25257,Spirit Airlines,1,"""Spirit is not customer friendly""",2022-05-25,False,"  I initially had flight booked on the 5/22 from Oakland to BWI with a layover at Las Vegas. Spirit cancelled the flight and booked a next day flight from OAK to BWI via LAX with a 6 hours layover which is unacceptable. And we arrived at BWI Spirit used one carousel to accommodate flights from Atlanta, LAX , Ft Laudable and it was crowded. Over 500 people looking for their baggage. Crazy. Why? To cut cost I think. Spirit is not customer friendly. I will not fly it again.",,Family Leisure,Economy Class,Oakland to Baltimore via Las Vegas ,May 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Oakland,BaltimoreviaLasVegas,27727
57001,Hainan Airlines,1,"""provides comfortable services""",2017-05-10,False,"  Changsha to Sydney. The staff are kind, gentle and professional. It provides comfortable services, such as tasty food, warm towels and a drink bar. The cabin staff serve water for those thirsty passengers who does not sleep at night. Its economy service includes an eye mask for sleeping, a toothbrush, socks and earplugs. They are very useful for the long fly trip. I will definitely recommend Hainan Airlines to my friends.",A330,Business,Economy Class,Changsha to Sydney,May 2017,5.0,5.0,5.0,5.0,5.0,,5.0,yes,Changsha,Sydney,62652
88669,American Airlines,1,"""lied to us twice about crew""",2018-11-05,True,"  Dallas to Las Vegas. Airline is trash and disrespectful. They took our crew and put on another plane. I am never flying this airline, I prefer Frontier. We were given a $12.00 food voucher. They lied to us twice about a crew and we had no choice but to spend the night. They will not reimburse for a hotel but will give vouchers. Everybody had bad stories of this airline.",,Family Leisure,Economy Class,Dallas to Las Vegas,November 2018,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Dallas,LasVegas,97446
46,Peach Aviation,1,"""staff polite and pleasant""",2016-01-05,False,"Tokyo Narita to Osaka. Peach Aviation is a good budget airline, compared to some others used before. Easy to use self check in service at Tokyo airport. Flight left on time, cabin staff were polite and pleasant. The plane was clean, and seats were comfortable with a fair amount of leg room. One of the better, if not best budget airline I have travelled with.",,Solo Leisure,Economy Class,NRT to KIX,September 2015,4.0,5.0,,5.0,,,5.0,yes,NRT,KIX,49
59502,Copa Airlines,1,"""last experience was horrible""",2017-05-09,False,"  Guatemala to Panama City. I arrived early to be on time. I sat on the gate indicated and wait for the flight. First, the flight was delayed 30 min. Then, Copa airlines staff announced that the aircraft was not in good conditions and the delayed will be 8 hours. Copa Airlines offered lunch and dinner for the clients affected. However, I asked to leave the ariport because of the long layover. The first answer was that it was not possible because of inmigration issues, but later they let us leave the airport. As Copa Airlines request, I came back at 1 pm to take the flight at 3pm. Now, the worst nightmare began because they announced again that the airplane didn't work and they need to ask for a rescue airplane and maybe the airplane will arrive at 7pm. It is important to mention that Copa didn't announce on webpage or send us an email with the delayed information. Otherwise, we have to be in the counter and insist to the staff for information. The staff didn't provide a clear information and the supervisor was absent. I stayed at the airport waiting for the ""rescue airplane"". It was 7pm and the airplane haven't arrived. Copa Airlines staff brought some snacks and beverage to calm down the people. Then I decided to take the next day flight because there were many problems. Therefore, I asked for transportation, hotel and next day flight. The soonest available flight was next day at 2pm. I agree with that so I asked for my suitcase but my suitcase was sent to Panama! I stayed one more day and without my belongings. I have flown with Copa Airlines many times before but my last experience was horrible and disappointing. If you can avoid to use this airline, do it. The bad thing is that we don't have many option to choose in Latin america. Hope that the service can improve.",,Solo Leisure,Economy Class,Panama to Guatemala,April 2017,1.0,2.0,3.0,1.0,3.0,1.0,1.0,no,Panama,Guatemala,65428
42674,Jetstar Airways,2,"""officious approach to nuisances""",2021-07-16,True,"  Jetstar have the uncanny ability to need be at fault or feel the need to apologise for errors or omissions. From the call centre to ground staff and cabin crews, there is a unilaterally officious approach to nuisances, otherwise known as customers. Listening skills are decidedly absent and in general, the care factor hovers around zero. Legroom is an interesting euphemism for the wee gap between rows and I'm far from tall. Any opportunity to charge you additional is immediately seized upon. Refund is a word so unfamiliar to them it might as well be an ancient lost language. Email links don't work and the flight status web page too often sits and spins it's hamster wheel relentlessly without producing results. Definitely and sincerely, not a fan.",,Solo Leisure,Economy Class,Melbourne to Coolangatta,July 2021,2.0,1.0,,1.0,,,2.0,no,Melbourne,Coolangatta,46886
48688,Lufthansa,5,Lufthansa customer review,2018-06-22,True,"  Los Angeles to Munich. I had problems the video display. I noticed others with problems also. It took several requests with several attendants over greater than an hours time, for attention. After several reboots, the screen froze and I did not have a video display the entire flight. ",,Business,Economy Class,Los Angeles to Munich,May 2018,2.0,1.0,4.0,3.0,1.0,1.0,3.0,no,LosAngeles,Munich,53525
49288,Lufthansa,8,Lufthansa customer review,2015-07-08,False,"My journey was incident-free and my customer experience very good for an economy price. Staff were on the whole friendly, the planes were a good temperature, and there were only very small delays (20 mins for one connection). Food was nothing exciting but on planes it never is. I brought my own snacks. Entertainment system was a little less modern and the screen smaller than past experience, but it was still fine to pass the hours. Seat wasn't super comfortable and there wasn't loads of leg room, but with the blanket provided it was survivable. For the cheapest option around, that's all I had hoped for. As I said, the staff were friendly and well-presented. Only annoyance was that no-one came around between meals so any queries and assistance were hard to attain. Toilets were fine too. Not lovely, but they are plane toilets.",,Solo Leisure,Economy Class,Birmingham to Seoul Incheon via Munich,June 2015,4.0,4.0,3.0,4.0,4.0,,5.0,yes,Birmingham,SeoulIncheonviaMunich,54175
78183,China Southern Airlines,1,"""first flight was delayed""",2016-03-21,False,Delhi to Sydney via Guangzhou in January 2016. Our first flight was delayed and we had to stay at Guangzhou on transit visa. They sent us to the hotel till next flight schedule. Hotel manager could not speak English and it took 2 hours for him to understand why we were at the hotel. Tried doing online check-in multiple times but no success. Their customer care do not understand English. Their refund and reschedule charges are almost equal to the flight fare.,,Family Leisure,Economy Class,DEL to SYD via CAN,January 2016,1.0,1.0,,1.0,,,1.0,no,DEL,SYDviaCAN,85975
37449,Royal Air Maroc,1,"""excuses not to refund me""",2019-10-06,True,"  Casablanca to Marrakech and the aircraft was terrible. Got to Marrakech in one piece and baggage made it. Vowed never to fly with Royal Air Maroc again, but as I had to return back to Casablanca the week after, I thought I would leave the return flight as is. Big mistake. I went to the airport for my 7am flight. People were screaming at the counter staff. The flight was cancelled. They offered to bus me to Casablanca. I turned this offer down as I would not have made my connecting flight. Royal Air Maroc told me I would get a refund on my ticket. I have made numerous calls to Royal Air Maroc, and they keep making excuses not to refund me. Staff do not speak English very well. Its been a nightmare. I filled in their online form to get a refund. To date no emails, no calls. ",ATR72,Solo Leisure,Economy Class,Marrakech  to Casablanca,August 2019,1.0,1.0,,1.0,,,1.0,no,Marrakech,Casablanca,41123
23803,Southwest Airlines,10,Southwest Airlines customer review,2010-12-31,False,Southwest is at best a fair weather friend. My latest trip has been an epic debacle with poor customer relations shoddy baggage handling and a consistent and frustrating choice by this airline to make no effort whatsoever to get me home. Flying Southwest is like driving a car without insurance - ok until something goes wrong. And when something does go wrong Southwest will do nothing to make it right unlike better airlines. Customer loyalty means nothing to this airline as well.,,,Economy Class,,,,,,,,,1.0,no,,,26132
71618,British Airways,2,"""Lies and misleading unprofessional service""",2023-09-04,True,"  Care and support shocking. Written by a previously loyal BA traveller. Lies and misleading unprofessional service. Told that my flight was cancelled. Booked on to next available flight in downgraded cabin from business to premium economy. Called to ask why. Told technical fault with my original flight. My suspicion was another reason. At airport, check in staff said that not enough crew to staff original flight earlier in day. Why take my money and allow me to book a flight which would have allowed me to get to work as a doctor in the first place! How can you trust such an organisation to look after you as a flying customer.",,Business,Premium Economy,Houston to London Heathrow,September 2023,2.0,4.0,3.0,4.0,3.0,,1.0,no,Hous,n,78761
68710,Etihad Airways,9,Etihad Airways customer review,2014-10-31,False,SYD - AUH. Business class. Great flight. Very attentive crew and really nice food. New Sydney lounge staffed by keen polite people. The whole process was really impressive.,,,Business Class,,,4.0,5.0,5.0,,4.0,,5.0,yes,,,75532
74438,British Airways,4,British Airways customer review,2015-01-23,False,I returned from JFK last Friday morning reasonable flight although delayed for an hour and a half. Main meal was okay but the breakfast was appalling a stale croissant with some jam. I paid good money for this flight. Really disappointed quality is slipping away.,,,Economy Class,,,2.0,2.0,1.0,,2.0,,3.0,no,,,81858
70274,Avianca,1,"""3 hours delay. No food""",2023-01-02,True,  This was the worst experience ever. 3 hours delay. No food. No drinks. No blanket. It takes one hour to start to se the luggage come out. No explanations. No nothing and the staff just chilling all the flight .,,Solo Leisure,Economy Class,Guayaquil to New York,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Guayaquil,NewYork,77274
99510,Air India,7,"""Service was so so""",2017-11-30,True,"  Melbourne to Delhi, the Boeing 787 is simply a joy. The ability to play around with the window dimmer is amazing. Unfortunately though the cabin crew keeps the cabin dark all the time, even though it’s a day flight. It’s so easy for them to control it compared to the manual blinds. Service was so so, while the food was average for business class standards. The seat, however, was sufficiently wide and comfortable with USB and power available. The IFE was not as good as Emirates or SQ, but it was adequate for me. The supplied headphones could be better.",Boeing 787-8,Business,Business Class,Melbourne to Delhi,November 2017,4.0,3.0,3.0,4.0,4.0,,3.0,yes,Melbourne,Delhi,109399
67009,Ethiopian Airlines,3,"""Ethiopian doesn’t seem to care""",2019-06-06,True," As usual with Ethiopian: poor food, IFE that appears stuck 25 years ago, employees that barely speak English (so imagine languages other than Amharic and English). Airplanes might be new or recent but seem centuries old when inside. Flight from ASM to ADD was on an old B767-300 with overhead compartments not closing properly, and half the seats unfit for air travel (seats that do not recline, no belts). The fact that Ethiopian doesn’t seem to care is beyond understanding but Eritrean aviation authorities should check the aircrafts and ground them if they keep treating customers and safety like this. Transiting through Addis is a nightmare (airport stuck in time, few dining and drinking options, not enough seats within the transit area, smoking area that is disgusting, employees literaly force you to reach your gate even if your flight is in two hours and there is nothing around boarding gates). The fact that the airline is monopolistic on so many routes sure doesn’t help them improve their standards. Next time I travel to the Horn of Africa, I’m flying with Emirates, Turkish or Qatar.","Boeing 787 (ADD-GVA), Boeing 767-300 (ASM-ADD)",Business,Economy Class,Asmara to Geneva via Addis Ababa ,June 2019,2.0,2.0,2.0,1.0,1.0,,1.0,no,Asmara,GenevaviaAddisAbaba,73656
34679,Qantas Airways,3,Qantas Airways customer review,2015-06-25,False,"Retun flight QF28 on 10/6/15 from SCL to Melbourne. I occupied an extra charged emergency exit window seat. Contrary to previous flight (SYD-SCL) in Premium Economy, the cabin crew (CC) offered no help to store hand luggage in overhead locker despite seeing my difficulty in doing so. Despite ample space in front of my seat to move around, staff disturbed passengers next to me by passing and collecting from them my food trays, until I politely asked them to step around to my seat to do so - which they did but offering no apology for their carelessness. Food was the worst consisting of fish or meat, a hard bun and a dry dessert - no salad, butter or cheese. Snack was an ice cream almost thrown at you whether you liked it or not in the middle of sleeping time. Drinks however were readily available. Very cheap and poor entertainment and poor quality headphones.",Boeing 747-400,Solo Leisure,Economy Class,SCL to Melbourne via SYD,June 2015,3.0,2.0,2.0,4.0,2.0,,3.0,no,SCL,MelbourneviaSYD,38093
77672,China Southern Airlines,7,"""the flight was delayed""",2017-10-09,False,"  Guangzhou to Xi'an. This was my first time to exchange tickets with miles. I chose the night flight, unfortunately the flight was delayed for half an hour. But China Southern Airlines APP can check the plane online situation, so I was not very nervous. As the attendance was very high, the cabin service was relatively general. Crew members was not very enthusiastic. The meal on the plane were beef rice and Cantonese Dim sum, I had tried, the latter tasted better. Just because it was rainy in Xi'an, my bag was wet. It was very easy to exchange a ticket with flight miles.",Boeing 737-800,Solo Leisure,Economy Class,Guangzhou to Xi'an,September 2017,4.0,2.0,4.0,4.0,3.0,,5.0,yes,Guangzhou,Xi'an,85412
48112,Lufthansa,1,"""there was no food or drink available",2022-04-18,True,"  Booked an economy light fare which only included a very small 8kg carry on bag. I found it strange that a full service airline would even have that option but given the fare was not cheap I assumed service on board would make up for this. Boarding was slow and messy requiring passengers to queue to have their documents checked, then queue again to check our tickets, then queue again in the jet bridge. What is the point of assigning boarding groups when all but priority passengers are called to board at the same time? Seats in economy were akin to a budget airline with minimal legroom, no headrest or entertainment. Cabin was not clean, and crew handed out alcohol wipes. On both legs I took with Lufthansa there was no food or drink available, complimentary or paid. This was a 2 hour service right about lunchtime. Almost any other full service airline would have provided some sort of food service. It is already low cost carrier like to only have paid food services. To have no service at all is just pathetic for a 5 Star Airline. Crew were barely seen during the flight. To top it off the flight was delayed. Overall the flight was worse than ultra low cost carriers while charging more. ",A320-200,Solo Leisure,Economy Class,Frankfurt to Glasgow,April 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Frankfurt,Glasgow,52887
37044,Qatar Airways,7,Qatar Airways customer review,2015-03-04,False,Manchester-Doha-Melbourne 20th Feb 2015. First leg to Doha on A330-200 not fully booked I had aisle seat plenty of room for my legs (I'm six foot). My entertainment system froze halfway through the film I was watching so I ended up watching the screen on the next (empty) seat. Shiny screens so your reflection dominates a lot of what you watch. Food reasonable service seemed a little slow but overall a good first leg of the trip. There's only a 45 minute layover in Doha but they are well geared up for this and no trouble with missing luggage despite the gates being at opposite ends of the airport. Second leg to Melbourne on a 777-300ER almost full seats nowhere near as comfortable far less leg room. Better entertainment system than the Airbus matt screen so no reflection problems. Food probably slightly better but again seems to be a slow process. Overall however I arrived in Melbourne feeling fit and refreshed and would definitely take the same route again. Here's hoping for Airbus on the return journey.,,,Economy Class,,,4.0,4.0,4.0,,4.0,,4.0,yes,,,40684
967,Vueling Airlines,8,"""no hard sell of duty free""",2016-08-28,False,"Alicante to Manchester. Short queue time, boarded quickly and departed on time. Good leg room. No ""hard sell"" of duty free or lottery tickets like some airlines. Smooth flight and early arrival at Manchester airport. 8 minutes from plane door opening to my exit from the airport. Brilliant and very happy.",,Solo Leisure,Economy Class,ALC to MAN,August 2016,4.0,5.0,4.0,4.0,,,5.0,yes,ALC,MAN,1062
86693,American Airlines,1,"""third world airlines that are more competent than this""",2022-02-04,True,"  After a night of delay after delay, our flight to Barbados was canceled last night. Very lame excuses were given. We have the pilot and co-pilot but we don’t have a crew. We have a crew and pilot but the plane have to be boarded in 15 min. We can’t leave there is a curfew. The pilot can’t fly the plane now because of his contract. I have flown on third world airlines that are more competent than this. On a 4 day trip thanks to American Airlines wasted two days. I will make sure everyone that I know know this story",Boeing 737-800,Couple Leisure,Economy Class,Miami to Bridgetown,February 2022,,,,1.0,,,1.0,no,Miami,Bridge,95270
7851,Vistara,1,"""a great experience with Vistara""",2019-08-05,True,  Mumbai to Delhi. This was any first time flying a 2 hour long flight with vistara and was looking forward to their hospitality and service having flown them on short sectors. I was happy that that the airline is keeping it service standards high and maintaining it since day they started flying the seats in economy were very comfortable with great legroom and the plane was kept very clean.The staff from ground to cabin crew were the most kind and helpfull that I've ever met.. So overall ice again a great experience with Vistara.,A320neo,Business,Economy Class,Mumbai to Delhi,July 2019,5.0,5.0,5.0,5.0,5.0,,5.0,yes,Mumbai,Delhi,8628
55069,Frontier Airlines,10,Frontier Airlines customer review,2015-06-04,False,5 hour delay coming from Miami Fl to Denver Co on June 2nd 2015. No complementary anything was offered. Worst planes. Now the seats are very small the tray in front of you only hold 2 cups. My last time flying with Frontier.,,,Economy Class,,,1.0,1.0,1.0,,1.0,,3.0,no,,,60532
91498,Aegean Airlines,1,Aegean Airlines customer review,2013-08-13,False,BRU-ATH ATH-BRU. Jul 20 2013 and Aug 11 2013. Aegean always exceeds expectations. Attentive and courteous cabin crew clean aircraft and comfortable seats. Above and beyond!,,,Economy Class,,,5.0,5.0,5.0,,5.0,,5.0,yes,,,100556
83935,Allegiant Air,1,"""they do not have any customer service""",2022-04-13,False,"  So we’ve flown Allegiant multiple times over the years and almost every time we have either a delay, rude attendants, or the current situation we are in now a cancelled flight. As soon as we were notified of the cancellation we attempted via Allegiant.com, the Allegiant App, via phone by several different numbers, and even attempted to chat live with an agent. The line was continuously busy for hours, the live agents are offline, the app and website both will say either “something went wrong” or “prices have changed” preventing you from making any changes. I even went to their Facebook page to attempt communication with someone. So what I’m trying to say is, don’t expect help resolving any issues that may arise from this company because they do not have any customer service what so ever.",,Family Leisure,Economy Class,Arkansas to Las Vegas,September 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Arkansas,LasVegas,92263
70055,Austrian Airlines,9,Austrian Airlines customer review,2013-01-11,False,LEJ-VIE-LEJ Economy class - journey paid with miles. Check-in was very quick but Lufthansa ground staff at Leipzig airport extremely unfriendly. Walking distances at Leipzig airport are incredibly long. Due to bad conditions at Vienna airport the plane (Dash 8-400) could not leave Leipzig on time therefore had to wait about an hour. Captain kept the passengers informed on connecting flights. During the waiting time the crew offered free drinks and newspapers. I asked for a special Austrian paper and received it with a smile. In the air we were served tea or coffee and a small snack. Return flight was also pretty good same experience except for the delay as we landed 20 minutes ahead of schedule. Austrian offers a good value for money (cheapest tickets start at 149 Euro) especially on this route where you have no alternatives.,,,Economy Class,,,4.0,4.0,4.0,,0.0,,5.0,yes,,,77030
77076,China Southern Airlines,9,"""Caring baby service""",2021-02-01,True,"  When I walked out of the covered bridge with my several months baby, the China Southern Airlines ground staff paid me more attention and helped me carry my two big luggages. She took us to the infants passengers waiting area and provided me a warm reminder about baby strollers. After we finished the entry process, they brought us the stroller quickly. Caring baby service, nice experience!",A380,Family Leisure,Business Class,Los Angeles to Guangzhou,January 2021,5.0,4.0,4.0,5.0,4.0,,5.0,yes,LosAngeles,Guangzhou,84759
60516,Delta Air Lines,2,"""an attitude/entitlement problem""",2022-01-05,False,"
Our flight started out early morning 40 minutes late from original departure. Knowing we were coming in late Delta decides to close our next flight 5 minutes early at the gate. Next flight we could get, on standby, was 5 hours later. On our first flight there was an attendant yelling at people to keep their mask on while handing them food so they could pull their mask down to eat right after. When my wife went to go politely rebook our flights the Delta clerk rolled her eyes at her. The insanity and lack of compassion from this airline is aggravating so I urge people to not use this airline. The staff have an attitude/entitlement problem and it’s not worth it considering the ticket costs.",A321,Couple Leisure,Economy Class,Milwaukee to Jacksonville via Atlanta,January 2022,2.0,1.0,1.0,1.0,2.0,2.0,1.0,no,Milwaukee,JacksonvilleviaAtlanta,66541
36205,Qatar Airways,1,"""amazed by the attention to detail""",2018-09-03,True," Flew Doha to Goa. Great airline, with a great service. Truly amazed by the attention to detail. Cabin crew members excellent as always, and inflight entertainment - Oryx One was good, but could have been better. Overall, a great experience. Looking forward to flying again with Qatar Airways.",A321,Solo Leisure,Economy Class,Doha to Goa,September 2018,5.0,5.0,4.0,4.0,4.0,,5.0,yes,Doha,Goa,39761
23009,Southwest Airlines,1,"""smooth and on time""",2019-04-07,True,"  My fight was 1193 from Baltimore to Fort Lauderdale on March 27, 2019. This was by far the best flight I've had with any airline. The flight staff was very courteous and humorous. They constantly made announcements keeping us informed of everything. Treated us like family and kept us laughing and entertained. The flight was smooth and on time.",,Solo Leisure,Economy Class,Baltimore to Fort Lauderdale,March 2019,4.0,5.0,5.0,5.0,,,5.0,yes,Baltimore,FortLauderdale,25257
38266,Ryanair,1,"""pay 60 euro for a piece of paper""",2019-10-17,True,"  Seville to Valencia with Ryanair. I am extremely disappointed with this airline to the point where I will not be flying with them in the future. I find this airline to be very cheap and non understanding. As a student studying abroad, I am on a very tight budget. I have very little data while abroad and so I did not know it was required that I check in before hand. I was charged 60 Euro, when the email said “you might be charged a fee”, not might, there was no discussion, no alternative ways presented, and I was forced to pay 60 euro for a piece of paper all because I didn’t read the fine print terms and conditions.  I find that response from the staff extremely sneaky, rude, unempathetic, and honestly quite dumb as I have never once flown on another airline where you can’t check in happily and for free at the airport. I asked them why I was paying 60 dollars and the response was “because you didn’t check in online”. Extremely unimpressed with the staff, quality of flight, and airline logistics in general. I recommend paying that 60 more dollars to find a better airline.",,Solo Leisure,Economy Class,Seville to Valencia,October 2019,1.0,1.0,1.0,1.0,1.0,,1.0,no,Seville,Valencia,42032
21714,Singapore Airlines,7,Singapore Airlines customer review,2013-08-19,False,July 20th SIN-SFO via ICN. Return August 2 SFO-SIN via ICN. SA has always been rated very high for service but I think they are starting to cut corners. Their equipment still looks great seats are comfortable and inflight entertainment is great but the service is really slipping. I rang the call button 3 times during one flight as I desperately needed a soda but nobody ever came. The meals have definitely been shrinking in size and the kids meals are becoming more unusual. A kids meal should almost be generic like pizza or spaghetti but you rarely see those offered.,,,Economy Class,,,4.0,3.0,3.0,,4.0,,4.0,yes,,,23826
37318,Qatar Airways,6,Qatar Airways customer review,2013-12-23,False,Have just completed 2 very much anticipated legs with Qatar Airways Paris to Doha and Doha to Melbourne. We were so disappointed which is hardly what I expected to be saying here Used Air France La Premiere lounge in Paris although nice had limited food offerings but comfortable. Boarding welcome and crew great but meal uninteresting and veal tough. Only served with rice. It did do the trick though as required no dessert. Cabin was not cleaned prior to landing. Our arrival in Doha was delayed which meant the long anticipated use of the Premium Lounge was not met as by the time we were bussed to terminal we were told we had to board in 10 minutes. No seating as lounge full to overflowing toilets dirty and two lots of security ate into our very limited time. Back on the bus and our flight to Melbourne. Greeted warmly and seats fantastic and for us that was where it ended. For first time Qatar users we were not informed that to eat we had to request and subsequently very little food actually offered for a 13 hour plus flight. When food was finally requested due to extreme hunger and no chance to eat at Doha we were told there would be a long wait as crew were resting. Very little cabin presence throughout flight. Pyjamas offered and most passenger used them but only saw one bed made up by crew. All in all not quite what we expected and if this particular flight is anything to go on will not fly with them again.,,,Business Class,,,4.0,2.0,2.0,,4.0,,3.0,no,,,40981
57486,Hawaiian Airlines,10,Hawaiian Airlines customer review,2014-06-13,False,"Given health booked business class. Booked wheelchairs and meet and greets. Rang and triple checked on priority on luggage with assistance needed both in Australia and US. Imagine my horror when told flying business first time ever and nil afford told bring own food due to health issues. Spoke with them and sent world-wide advice on what we could take. Told first on first off. Not true. Wheelchair passengers had to sit while able bodied passengers got off first. Told wheelchair would be available would be pushed assistance with luggage - not true. Got sat in first row middle seats about two inches extra width and some silly ramp thing you can push down on and get feet up about 5"". Most uncomfortable seats ever. Told because of where we were sat and had no choice even though requested window seat our two backpacks had to be up top at all times so hubby was up and down to get medications food aides the entire flight. No wheelchair on arrival although pre-booked. And last off. Went from Honolulu to Kona no help with luggage consistently having to ask for help and tipping expected. Lounges disgusting at Kona. Return flight worse. All same as above. What did we get for business class prices! Nothing.",,,Business Class,,,1.0,1.0,1.0,,1.0,,1.0,no,,,63196
17387,United Airlines,1,"""never been treated so poorly""",2018-05-19,False,"  Raleigh Durham to Medford via San Francisco. This flight was delayed 5+hours meaning our connection in SFO would be missed. United refused to offer a food voucher, refused any hotel accommodations in SF and refused any compensation for the flight delay. Called United and talked to supervisor Chris after an 1.25 hour hold. He just said, “can’t help you, write a review”. That’s it. I have never had a supervisor be so rude. This is the second time I have had an issue with terrible customer service with United in the last 8 months. The last time they would not let me cancel a ticket when I had bought trip insurance. I have never been treated so poorly. Very sad that this airline has zero customer service, and has gone from one of the best airlines to one of the worst. Hopefully they will care about these reviews and try to improve. We will see.",,Business,Economy Class,Raleigh Durham to Medford via San Francisco,May 2018,2.0,4.0,,1.0,,,1.0,no,RaleighDurham,MedfordviaSanFrancisco,19088
81698,AirAsia X,1,AirAsia X customer review,2014-03-30,False,I traveled to Colombo on Jan 2014 on AAX from KUL-CMB-KUL in economy class on A330. I have been traveling with AAX for more than 10m times. I can tell you that the services have improved food was surprisingly good tasty and fresh but little portions. FA were attentive and professional throughout the flight. The crew were very proud of their brand AAX which is good. On the both legs the flight landed on time and we were greeted on the aircraft with smiley faces. Cabin was clean new and seat was comfortable. Problems I encountered with LCCT Terminal: too crowded and chaotic but ground staffs managed it very well. Would definitely fly again with AAX.,,,Economy Class,,,4.0,4.0,4.0,,0.0,,5.0,yes,,,89818
13163,Turkish Airlines,1,"""they treated me so badly""",2021-06-16,True,"  This is the worst airline. The airline preponed my flight and I had 22 hrs transit in Istanbul. Above all, I accepted the offer because I had an emergency and I needed to fly anyway. They did not give any information beforehand, I tried to contact the service center and even went to the airport to find someone at the service desk if possible but it almost impossible to communicate with the airline. I tried to request the staff through telephone they convinced me that my request for a hotel room in Istanbul airport will be accepted. when I reached the airport for check-in they demanded that I need to apply for an e-visa that would cost 120€. I was about to miss my flight but the staff was so not cooperative even the person at the service desk was very rude. However, I finally managed to get on board. I expected to get a room in the airport Hotel in Istanbul, but my request was rejected. It was the worst experience spending time in Istanbul airport for 22 hrs. Maybe because I was an economy class passenger, they treated me so badly but I think it is someway their responsibility until I reach my destination. Those 22 hrs in Istanbul airport was a trauma for me. I would not recommend traveling with this airline.",,Solo Leisure,Economy Class,Cologne to Kathmandu via Istanbul,March 2021,2.0,2.0,2.0,1.0,2.0,2.0,1.0,no,Cologne,KathmanduviaIstanbul,14442
61012,Delta Air Lines,2,"""rude, disrespectful employee""",2019-08-16,False,"  Miami to Atlanta via Pittsburgh. My Husband and I celebrated our 1-year Anniversary and thanks to Delta to give us a horrible ending to our vacation. It first started in Miami where there were 2 or 3 delays for the flight from Miami to Atlanta, there were no announcements regarding why the delays were happening and no information given whatsoever. The weather was a little overcast sky, but that was it. Once we finally boarded the aircraft, we landed in Atlanta 15 minutes after our connected flight had already left. We were not sure what our next steps were, so we went to the Delta Help counter on Concourse A where we encountered a nasty, condescending, rude, disrespectful employee. It was bad enough that we were upset that we missed our flight, but to make matters worse to endure her and her unpleasant attitude. First of all, in Miami there was no reason given why our flight was delayed and then when we got to Atlanta we had to stay in the airport all night and were not compensated or reimbursed for anything, not so much as a blanket, a cup of coffee or water. I understand that things happen but to be treated in the matter of which we were is Unacceptable and definitely not customer-oriented or customer friendly, at all. From the first delay, where there were no updates, to the rude employee, to no compensation for anything, not to mention that my husband and I missed a day of work and missed wages and had to pay an extra day of parking at our original destination where we had parked and pre-paid. I definitely would not recommend your airline to anyone. Based on the unjust treatment and the lack of concern from your company and employee Lucille, I somehow, sincerely doubt that this complaint would be viewed or given any consideration, but I had to air my true disappointment in a company that I view totally different now.",,Couple Leisure,Economy Class,Miami to Atlanta via Pittsburgh,July 2019,1.0,1.0,,1.0,,1.0,1.0,no,Miami,AtlantaviaPittsburgh,67086
69731,Austrian Airlines,8,"""Overall experience good""",2018-04-15,True,"  Frankfurt to Thessaloniki via Vienna. Nice airline, I enjoyed the flight, food during the flight was nice. Food in the business lounge in Vienna was bad. I had a problem with my luggage in Thessaloniki and I didn’t find any representative for the airline in the airport. Cabin staff are very friendly. Overall experience good, I won’t hesitate to fly back with Austrian airline.",B777 / E190 /A320,Solo Leisure,Business Class,Frankfurt to Thessaloniki via Vienna,April 2018,4.0,5.0,4.0,4.0,1.0,1.0,4.0,yes,Frankfurt,ThessalonikiviaVienna,76673
81231,AirAsia,1,"""pay a little more for a hot seat""",2015-10-31,False,"KUL-SIN-KUL day return, 2nd time using Air Asia. I don't normally use Low cost airlines however for short trips I find them fine. Web check in for both flights quick and easy I had no baggage so straight through security and immigration. Boarding done by row and I had seat 1A, flight left on time and arrived spot on time. Flight time of 45 min, seat comfortable and was given a water by the young nice crew. Return once again checked in on the web so straight through the efficient Changi immigration and security to gate D37. Boarding fairly orderly although done by row number and again 1A. Flight departed on time but due to poor weather took a little longer, around 1hr 10min. The crew were unable to serve anything due to the turbulence but otherwise flight was fine. If using this airline, pay a little more for a hot seat, it's worth the few ££. This return trip cost me almost 100% less than the others on this route.",A320,Business,Economy Class,Kul to Kul via Sin,October 2015,3.0,4.0,,5.0,,,5.0,yes,Kul,KulviaSin,89302
